Name;X-coordinate;Y-coordinate;Z-coordinate;X-velocity;Y-velocity;Z-velocity;mass
neptune;25.4935;15.5078;-0.905539;-0.600039;0.989303;-0.0065455;0.00203369
sun;0.0148372;-0.00566796;-0.000378451;0.00127467;0.00282023;-4.71993e-05;39.4784
jupiter;-4.90516;2.24829;0.10033;-1.19205;-2.36422;0.0364967;0.0376937
saturn;-9.49959;0.275533;0.373605;-0.175161;-2.0337;0.0422873;0.0112863
uranus;-8.88304;16.4794;0.176;-1.27121;-0.742743;0.0137338;0.00172372
neptune;25.4875;15.5177;-0.905604;-0.600418;0.989073;-0.00653205;0.00203369
sun;0.0148498;-0.00563971;-0.000378921;0.00126173;0.00282568;-4.69113e-05;39.4784
jupiter;-4.91696;2.22459;0.100693;-1.1798;-2.36984;0.0362462;0.0376937
saturn;-9.50129;0.255195;0.374026;-0.170802;-2.03382;0.0421157;0.0112863
uranus;-8.89574;16.472;0.176137;-1.27068;-0.743735;0.0137232;0.00172372
neptune;25.4815;15.5276;-0.90567;-0.600797;0.988842;-0.00651859;0.00203369
sun;0.0148623;-0.0056114;-0.000379387;0.00124877;0.00283106;-4.66225e-05;39.4784
jupiter;-4.92863;2.20084;0.101053;-1.16754;-2.37539;0.035995;0.0376937
saturn;-9.50296;0.234855;0.374446;-0.166444;-2.03394;0.0419439;0.0112863
uranus;-8.90845;16.4645;0.176274;-1.27014;-0.744726;0.0137126;0.00172372
neptune;25.4755;15.5375;-0.905735;-0.601176;0.988611;-0.00650513;0.00203369
sun;0.0148746;-0.00558303;-0.00037985;0.00123578;0.00283639;-4.6333e-05;39.4784
jupiter;-4.94019;2.17703;0.10141;-1.15525;-2.38088;0.0357429;0.0376937
saturn;-9.50458;0.214515;0.374864;-0.162086;-2.03404;0.041772;0.0112863
uranus;-8.92114;16.4571;0.176411;-1.26961;-0.745718;0.0137019;0.00172372
neptune;25.4695;15.5474;-0.9058;-0.601554;0.98838;-0.00649167;0.00203369
sun;0.0148869;-0.00555462;-0.000380311;0.00122277;0.00284165;-4.60427e-05;39.4784
jupiter;-4.95161;2.15316;0.101765;-1.14293;-2.3863;0.0354902;0.0376937
saturn;-9.50616;0.194174;0.37528;-0.157729;-2.03414;0.0416;0.0112863
uranus;-8.93383;16.4496;0.176548;-1.26907;-0.746708;0.0136913;0.00172372
neptune;25.4634;15.5572;-0.905864;-0.601933;0.988149;-0.00647821;0.00203369
sun;0.014899;-0.00552615;-0.000380768;0.00120975;0.00284686;-4.57516e-05;39.4784
jupiter;-4.96292;2.12925;0.102117;-1.1306;-2.39167;0.0352366;0.0376937
saturn;-9.50769;0.173831;0.375694;-0.153373;-2.03422;0.0414279;0.0112863
